CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
A030,23 ST,00:00:00,130585244.671875,20399945.96875,389.0625,71.875,460.9375
R131,23 ST,00:00:00,21116989.166666668,8337420.333333333,309.94444444444446,60.111111111111114,370.05555555555554
N508,23 ST,00:00:00,3083224357.234375,3242222311.09375,141.09375,86.015625,227.109375
R132,23 ST,00:00:00,20994974.0,41377376.833333336,78.44444444444444,102.94444444444444,181.38888888888889
N077,23 ST,00:00:00,14199017.703125,26799850.03125,224.84375,131.765625,356.609375
R226,23 ST,00:00:00,2069732955.7222223,1732557636.3888888,6524559.444444444,54.388888888888886,6524613.833333333
N076,23 ST,00:00:00,32778799.84375,17565329.328125,456.734375,149.46875,606.203125
R226A,23 ST,00:00:00,36520403.222222224,21268965.5,21.61111111111111,18.5,40.111111111111114
N075,23 ST,00:00:00,156563451.515625,553270790.828125,112.671875,31.234375,143.90625
R227,23 ST,00:00:00,960817635.6666666,908688956.2222222,150.61111111111111,20.055555555555557,170.66666666666666
A031,23 ST,00:00:00,20903446.84375,16997343.3125,274.421875,66.265625,340.6875
N509,23 ST,00:00:00,24280844.40625,17245238.046875,197.75,91.046875,288.796875
R227A,23 ST,00:00:00,15559206.777777778,9004819.666666666,119.88888888888889,54.77777777777778,174.66666666666666
R226A,23 ST,01:00:00,36620416.5,21407443.203125,16.453125,17.078125,33.53125
R226,23 ST,01:00:00,2094616934.96875,1732777057.828125,63.4375,55.171875,118.609375
R131,23 ST,01:00:00,19945493.28125,7951206.625,219.640625,41.421875,261.0625
R227A,23 ST,01:00:00,15861441.46875,9191860.875,63.6875,26.59375,90.28125
R227,23 ST,01:00:00,961213489.984375,908773486.625,89.21875,10.984375,100.203125
R132,23 ST,01:00:00,21218074.578125,41802045.71875,50.84375,69.09375,119.9375
N508,23 ST,03:00:00,3082817838.866667,3241529089.2,32.733333333333334,137.46666666666667,170.2
A030,23 ST,03:00:00,129890616.33333333,20102295.4,81.33333333333333,104.33333333333333,185.66666666666666
N077,23 ST,03:00:00,13927246.333333334,26509639.6,48.93333333333333,111.8,160.73333333333332
N076,23 ST,03:00:00,32072389.333333332,17178811.266666666,148.6,112.4,261.0
N075,23 ST,03:00:00,163933161.33333334,456482276.4,49.46666666666667,24.266666666666666,73.73333333333333
