CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
R231,33 ST,00:00:00,43059748.7,20713823.433333334,165.2,42.766666666666666,207.96666666666667
R231A,33 ST,00:00:00,18215154.566666666,11953398.866666667,117.5,33.8,151.3
R232A,33 ST,00:00:00,360015473.1,85573925.9,42.3,14.0,56.3
R232,33 ST,00:00:00,23358087.566666666,25429052.266666666,57.2,44.166666666666664,101.36666666666666
R231A,33 ST,01:00:00,18556065.714285713,12199804.565714287,56.76571428571429,30.091428571428573,86.85714285714286
R232,33 ST,01:00:00,23767900.462857142,25845884.308571428,27.285714285714285,69.79428571428572,97.08
R231,33 ST,01:00:00,43608621.022988506,21026305.29310345,82.49425287356321,38.94827586206897,121.44252873563218
R232A,33 ST,01:00:00,362745036.48571426,85703152.17714286,18.325714285714287,19.542857142857144,37.86857142857143
R232,33 ST,04:00:00,23358144.766666666,25429096.433333334,452.3666666666667,1357.4666666666667,1809.8333333333333
R231A,33 ST,04:00:00,18215272.066666666,11953432.666666666,337.6666666666667,382.53333333333336,720.2
R231,33 ST,04:00:00,43059913.9,20713866.2,534.1,568.9,1103.0
R232A,33 ST,04:00:00,360015515.4,85573939.9,128.43333333333334,473.53333333333336,601.9666666666667
R232,33 ST,05:00:00,23767927.74857143,25845954.102857143,1274.9657142857143,2478.28,3753.2457142857143
R231,33 ST,05:00:00,43588786.55428571,21015537.89142857,1096.04,1206.7428571428572,2302.782857142857
R231A,33 ST,05:00:00,18556122.48,12199834.657142857,718.6571428571428,1043.4685714285715,1762.1257142857144
R232A,33 ST,05:00:00,362745054.81142855,85703171.72,374.22285714285715,872.4857142857143,1246.7085714285715
R231A,33 ST,06:28:59,18382806.0,12043414.0,595.0,921.0,1516.0
R231A,33 ST,06:31:50,18528941.0,12160259.0,743.0,1708.0,2451.0
R232,33 ST,07:15:58,20889477.0,22834757.0,266.0,727.0,993.0
R231,33 ST,07:48:23,43462024.0,20898037.0,179.0,219.0,398.0
R232A,33 ST,07:58:55,404569501.0,85316408.0,295.0,401.0,696.0
R232,33 ST,08:00:00,23358606.0,25430478.133333333,2192.0333333333333,3297.766666666667,5489.8
R231A,33 ST,08:00:00,18215609.733333334,11953815.2,1286.6333333333334,2022.5,3309.133333333333
R231,33 ST,08:00:00,43060448.0,20714435.1,1873.8666666666666,2163.7,4037.5666666666666
R232A,33 ST,08:00:00,360015643.8333333,85574413.43333334,788.2,1251.7666666666667,2039.9666666666667
R232,33 ST,08:08:14,20837702.0,22777971.0,2214.0,3863.0,6077.0
R231,33 ST,08:10:40,43462203.0,20898256.0,577.0,516.0,1093.0
R232,33 ST,08:13:00,21128008.0,23096329.0,813.0,1303.0,2116.0
R232A,33 ST,08:14:07,270268960.0,85611774.0,222.0,437.0,659.0
R232,33 ST,08:15:23,21463597.0,23457698.0,513.0,888.0,1401.0
R231A,33 ST,08:31:23,16345662.0,10529210.0,252.0,449.0,701.0
R232A,33 ST,08:32:46,270334237.0,85673467.0,113.0,287.0,400.0
R231A,33 ST,08:33:14,16520425.0,10656768.0,241.0,477.0,718.0
R231,33 ST,08:37:33,43410321.0,20867735.0,289.0,283.0,572.0
R231A,33 ST,08:38:59,18418495.0,12071657.0,200.0,270.0,470.0
R231A,33 ST,08:42:18,18375629.0,12038187.0,155.0,283.0,438.0
R231A,33 ST,08:49:10,16389937.0,10561414.0,107.0,111.0,218.0
R232,33 ST,08:49:40,21464110.0,23458586.0,156.0,358.0,514.0
R231,33 ST,09:00:00,43537862.25714286,20976975.114285715,1731.6914285714286,1702.4685714285715,3434.16
R232,33 ST,09:00:00,23769211.182857145,25848446.94857143,1805.4114285714286,2509.1257142857144,4314.5371428571425
R232A,33 ST,09:00:00,362745432.6342857,85704050.63428572,769.1657142857143,978.2742857142857,1747.44
R231A,33 ST,09:00:00,18556853.805714287,12200897.051428571,1120.3942857142856,1675.4057142857143,2795.8
R232A,33 ST,09:16:03,405543233.0,86068163.0,315.0,532.0,847.0
R232,33 ST,09:19:54,21040481.0,23001285.0,1752.0,2431.0,4183.0
R232A,33 ST,09:20:32,270346409.0,85684467.0,710.0,873.0,1583.0
R231,33 ST,09:22:23,39899315.0,19015125.0,328.0,450.0,778.0
R231A,33 ST,09:25:24,16346066.0,10530008.0,1019.0,1258.0,2277.0
R232A,33 ST,09:26:53,270334469.0,85673969.0,606.0,866.0,1472.0
R231A,33 ST,09:30:06,16390278.0,10562041.0,910.0,1297.0,2207.0
R231A,33 ST,09:49:29,16537280.0,10669041.0,333.0,612.0,945.0
R231,33 ST,10:00:51,39899643.0,19015575.0,1496.0,1001.0,2497.0
R232,33 ST,10:57:23,20908524.0,22856032.0,686.0,989.0,1675.0
R231,33 ST,11:02:22,43411482.0,20869224.0,840.0,600.0,1440.0
R231A,33 ST,11:03:46,18419311.0,12073115.0,561.0,561.0,1122.0
R231A,33 ST,11:07:36,16537613.0,10669653.0,547.0,559.0,1106.0
R232A,33 ST,11:14:22,405543548.0,86068695.0,142.0,91.0,233.0
R232A,33 ST,11:44:08,270393999.0,85729106.0,272.0,236.0,508.0
R231A,33 ST,11:46:10,16035727.0,10298832.0,52.0,57.0,109.0
R231,33 ST,12:00:00,43062321.86666667,20716598.8,2600.6666666666665,1260.5,3861.1666666666665
R232,33 ST,12:00:00,23218135.833333332,25267157.666666668,1785.6333333333334,1611.4,3397.0333333333333
R231A,33 ST,12:00:00,18216898.1,11955839.6,1558.6333333333334,1026.7333333333333,2585.366666666667
