CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
N067,34 ST-PENN STA,00:00:00,485081337.0,174292873.4913295,217.98265895953756,186.10404624277456,404.08670520231215
R137,34 ST-PENN STA,00:00:00,11835000.537142858,10856511.988571428,1.16,0.6285714285714286,1.7885714285714285
R135,34 ST-PENN STA,00:00:00,38704353.297142856,60356210.71428572,48.182857142857145,118.54285714285714,166.72571428571428
N073,34 ST-PENN STA,00:00:00,20758993.777142856,59134642.891428575,111.06857142857143,109.01142857142857,220.08
N072,34 ST-PENN STA,00:00:00,499127396.68390805,506546217.4885057,289.39080459770116,158.66091954022988,448.05172413793105
N071,34 ST-PENN STA,00:00:00,20028438.308571428,30688212.697142858,110.34285714285714,65.48,175.82285714285715
R141,34 ST-PENN STA,00:00:00,42597566.85142857,18044212.41142857,201.7942857142857,49.56,251.3542857142857
N070,34 ST-PENN STA,00:00:00,242843071.0,22563177.620689657,143.41954022988506,87.09770114942529,230.51724137931035
N069,34 ST-PENN STA,00:00:00,19276909.724137932,13119432.557471264,54.18390804597701,25.49425287356322,79.67816091954023
N068,34 ST-PENN STA,00:00:00,20570691.201149426,11926666.528735632,72.06896551724138,35.275862068965516,107.34482758620689
R139,34 ST-PENN STA,00:00:00,116210195.36571428,18099375.971428573,152.86285714285714,54.33714285714286,207.2
R138,34 ST-PENN STA,01:00:00,1835463977.9333334,1194331133.2333333,342.3666666666667,263.26666666666665,605.6333333333333
R142,34 ST-PENN STA,01:00:00,174289997.33333334,36333279.266666666,40.233333333333334,79.56666666666666,119.8
R142,34 ST-PENN STA,02:00:00,181062860.46551725,37336835.94252873,45.827586206896555,196.26436781609195,242.09195402298852
R138,34 ST-PENN STA,02:00:00,1839123805.4571428,1195413011.0,-489.7314285714286,-661.8057142857143,-1151.537142857143
R135,34 ST-PENN STA,03:00:00,38258020.4,59558509.56666667,1168.2,495.6333333333333,1663.8333333333333
N073,34 ST-PENN STA,03:00:00,20434358.866666667,58421017.43333333,691.2333333333333,532.0333333333333,1223.2666666666667
N070,34 ST-PENN STA,03:00:00,243235118.13333333,23554741.366666667,161.8,402.3666666666667,564.1666666666666
N069,34 ST-PENN STA,03:00:00,18965223.866666667,12871161.833333334,67.13333333333334,304.56666666666666,371.7
N072,34 ST-PENN STA,03:00:00,484192965.8,490485329.8,2230.8333333333335,538.0,2768.8333333333335
N067,34 ST-PENN STA,03:00:00,701833276.6333333,235704432.9,1377.0333333333333,770.7,2147.733333333333
R137,34 ST-PENN STA,03:00:00,11747760.533333333,10720634.733333332,22.733333333333334,132.8,155.53333333333333
N068,34 ST-PENN STA,03:00:00,21521145.6,13701907.2,52.8,190.0,242.8
N071,34 ST-PENN STA,03:00:00,19742206.866666667,30338708.866666667,80.43333333333334,445.4,525.8333333333334
R139,34 ST-PENN STA,03:00:00,111858622.43333334,23595102.366666667,323.4,92.66666666666667,416.06666666666666
R141,34 ST-PENN STA,03:00:00,42332743.233333334,17880056.066666666,134.23333333333332,245.0,379.23333333333335
R138,34 ST-PENN STA,03:46:45,1884339274.0,1200109322.0,42.0,42.0,84.0
