CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
N067,34 ST-PENN STA,00:00:00,493559892.0,176578076.875,408.171875,388.15625,796.328125
N069,34 ST-PENN STA,00:00:00,19272587.578125,13115865.734375,81.390625,45.375,126.765625
R137,34 ST-PENN STA,00:00:00,11832975.234375,10857623.28125,2.0,1.453125,3.453125
R135,34 ST-PENN STA,00:00:00,38601178.1875,60258778.265625,64.0625,197.671875,261.734375
N071,34 ST-PENN STA,00:00:00,20021862.53125,30698518.984375,227.328125,131.765625,359.09375
N068,34 ST-PENN STA,00:00:00,20642996.40625,12019193.0,110.9375,60.3125,171.25
R139,34 ST-PENN STA,00:00:00,114508694.328125,18101859.015625,245.875,117.125,363.0
N073,34 ST-PENN STA,00:00:00,20765242.171875,59151381.234375,150.5,181.65625,332.15625
N070,34 ST-PENN STA,00:00:00,243029435.78125,22521160.71875,237.859375,160.40625,398.265625
R141,34 ST-PENN STA,00:00:00,42605403.640625,18045577.734375,332.609375,104.625,437.234375
N072,34 ST-PENN STA,00:00:00,497879741.265625,505083226.953125,470.234375,309.578125,779.8125
R142,34 ST-PENN STA,01:00:00,174292645.1111111,36335454.5,89.94444444444444,83.94444444444444,173.88888888888889
R138,34 ST-PENN STA,01:00:00,1835456972.5,1194335347.1666667,532.0,380.1111111111111,912.1111111111111
R142,34 ST-PENN STA,02:00:00,181810042.125,37530590.78125,64.921875,108.171875,173.09375
R138,34 ST-PENN STA,02:00:00,1839184533.1875,1195286976.609375,443.4375,361.484375,804.921875
N070,34 ST-PENN STA,03:00:00,243227111.26666668,23546509.8,73.86666666666666,197.33333333333334,271.2
R139,34 ST-PENN STA,03:00:00,111853306.93333334,23590887.8,83.4,74.6,158.0
R141,34 ST-PENN STA,03:00:00,42321188.733333334,17874391.066666666,90.4,80.93333333333334,171.33333333333334
R137,34 ST-PENN STA,03:00:00,11745668.866666667,10718371.333333334,0.0,0.2,0.2
N071,34 ST-PENN STA,03:00:00,19735385.133333333,30329748.866666667,51.46666666666667,191.33333333333334,242.8
N067,34 ST-PENN STA,03:00:00,701810526.9333333,235683643.73333332,255.13333333333333,330.46666666666664,585.6
N069,34 ST-PENN STA,03:00:00,18959713.666666668,12866147.866666667,32.13333333333333,97.06666666666666,129.2
N072,34 ST-PENN STA,03:00:00,484169750.8,490474610.2,374.6666666666667,280.3333333333333,655.0
