CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
A043,CANAL ST,00:00:00,768477856.4666667,926508767.2333333,156.96666666666667,64.56666666666666,221.53333333333333
A046,CANAL ST,00:00:00,2173725024.1,666199328.7333333,195.5,123.2,318.7
N090,CANAL ST,00:00:00,15114116.35632184,22657517.20689655,83.62068965517241,28.902298850574713,112.52298850574712
R119,CANAL ST,00:00:00,16777454.666666668,5788155.533333333,59.1,15.066666666666666,74.16666666666667
R120,CANAL ST,00:00:00,2601926.6666666665,11492675.733333332,8.733333333333333,18.466666666666665,27.2
N089,CANAL ST,00:00:00,939941493.9257143,575377170.3314285,212.85142857142858,71.02285714285715,283.8742857142857
A066,CANAL ST,00:00:00,1391210926.6333334,2535755426.1666665,57.1,43.833333333333336,100.93333333333334
R120,CANAL ST,01:00:00,2656236.422857143,11691407.297142858,6.085714285714285,19.302857142857142,25.388571428571428
A046,CANAL ST,01:00:00,2174286254.0342855,665732456.1257143,119.01714285714286,95.12,214.13714285714286
A043,CANAL ST,01:00:00,769156254.2471265,927130572.9770114,85.35632183908046,54.17816091954023,139.5344827586207
R119,CANAL ST,01:00:00,17017955.965714287,5862083.005714286,28.85142857142857,12.914285714285715,41.76571428571429
A066,CANAL ST,01:00:00,1513849498.238372,2762858064.7616277,32.627906976744185,36.5406976744186,69.1686046511628
N089,CANAL ST,03:00:00,939457240.1666666,574974703.7,137.4,525.6666666666666,663.0666666666667
N090,CANAL ST,03:00:00,14880602.4,22421413.866666667,57.266666666666666,450.76666666666665,508.03333333333336
A066,CANAL ST,04:00:00,1391210983.7333333,2535755470.0,116.23333333333333,299.1,415.3333333333333
A046,CANAL ST,04:00:00,2173836687.1666665,666429163.3333334,673.1333333333333,1332.2333333333333,2005.3666666666666
N089,CANAL ST,04:00:00,939957281.7428571,575385983.1085714,339.18857142857144,1136.6171428571429,1475.8057142857142
A043,CANAL ST,04:00:00,768478013.4333333,926508831.8,232.96666666666667,1057.5333333333333,1290.5
R120,CANAL ST,04:00:00,2601935.4,11492694.2,36.8,392.8,429.6
R119,CANAL ST,04:00:00,16777513.766666666,5788170.6,125.73333333333333,122.76666666666667,248.5
