CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
A043,CANAL ST,00:00:00,768481048.5,926511098.6666666,366.72222222222223,157.5,524.2222222222222
N089,CANAL ST,00:00:00,939950426.671875,575376097.15625,360.859375,143.296875,504.15625
N090,CANAL ST,00:00:00,15114232.109375,22652193.921875,152.40625,57.6875,210.09375
R119,CANAL ST,00:00:00,16779686.222222224,5788917.111111111,87.0,18.5,105.5
R120,CANAL ST,00:00:00,2602333.1666666665,11494056.888888888,19.833333333333332,40.0,59.833333333333336
A046,CANAL ST,00:00:00,2173639941.0,666014149.2222222,413.6111111111111,233.66666666666666,647.2777777777778
A066,CANAL ST,00:00:00,1391212231.6666667,2535755703.9444447,135.22222222222223,106.33333333333333,241.55555555555554
A043,CANAL ST,01:00:00,769182006.90625,927155310.453125,221.09375,101.1875,322.28125
A046,CANAL ST,01:00:00,2174295509.828125,665755601.28125,267.984375,167.625,435.609375
A066,CANAL ST,01:00:00,1492602162.828125,2701053955.5625,74.53125,67.890625,142.421875
R120,CANAL ST,01:00:00,2657600.828125,11696152.0625,10.71875,28.953125,39.671875
R119,CANAL ST,01:00:00,17023835.375,5863830.953125,65.34375,17.328125,82.671875
N090,CANAL ST,03:00:00,14874880.6,22415957.8,38.0,68.06666666666666,106.06666666666666
N089,CANAL ST,03:00:00,939445970.9333333,574965358.3333334,100.06666666666666,119.33333333333333,219.4
A043,CANAL ST,04:00:00,768462229.0666667,926493771.2666667,110.06666666666666,312.8,422.8666666666667
A066,CANAL ST,04:00:00,1391203017.1333334,2535751158.3333335,59.4,168.93333333333334,228.33333333333334
R119,CANAL ST,04:00:00,16773980.2,5787191.733333333,35.4,23.0,58.4
A046,CANAL ST,04:00:00,2173573287.733333,665909145.2,285.8,524.9333333333333,810.7333333333333
R120,CANAL ST,04:00:00,2601010.0,11489251.866666667,9.466666666666667,68.8,78.26666666666667
N090,CANAL ST,04:00:00,15105918.23880597,22643767.343283582,52.91044776119403,125.17910447761194,178.08955223880596
N089,CANAL ST,04:00:00,939940794.2537314,575372706.238806,144.37313432835822,246.955223880597,391.32835820895525
A066,CANAL ST,05:00:00,1488064485.641791,2693653652.402985,107.59701492537313,289.17910447761193,396.7761194029851
R120,CANAL ST,05:00:00,2655437.9552238807,11688217.179104477,17.238805970149254,122.71641791044776,139.955223880597
A043,CANAL ST,05:00:00,769155143.7313433,927130483.3880597,176.22388059701493,643.4029850746268,819.6268656716418
R119,CANAL ST,05:00:00,17014266.58208955,5860884.402985075,64.92537313432835,44.776119402985074,109.70149253731343
