CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
A030,23 ST,00:00:00,130660828.66285715,20436562.954285715,203.81714285714287,32.42857142857143,236.24571428571429
N508,23 ST,00:00:00,3083214637.0457144,3242205185.4228573,81.54857142857144,48.73714285714286,130.28571428571428
N509,23 ST,00:00:00,24254396.94827586,17227374.436781608,148.81034482758622,44.21264367816092,193.02298850574712
R131,23 ST,00:00:00,21113147.0,8335927.066666666,187.83333333333334,29.3,217.13333333333333
N076,23 ST,00:00:00,32763440.21142857,17556893.811428573,231.9257142857143,65.13714285714286,297.0628571428571
R132,23 ST,00:00:00,20993791.633333333,41375276.36666667,35.733333333333334,55.166666666666664,90.9
R226,23 ST,00:00:00,2067120515.8333333,1732554352.2,70.1,44.03333333333333,114.13333333333334
N075,23 ST,00:00:00,156373240.97142857,575812563.5428572,64.11428571428571,13.108571428571429,77.22285714285714
R226A,23 ST,00:00:00,36519655.96666667,21267983.233333334,12.933333333333334,11.733333333333333,24.666666666666668
R227,23 ST,00:00:00,960815213.5,908688284.2333333,111.83333333333333,8.433333333333334,120.26666666666667
A031,23 ST,00:00:00,20949996.314285714,17052050.92,149.33714285714285,36.822857142857146,186.16
N077,23 ST,00:00:00,14184700.554285714,26623163.125714287,97.04,57.41142857142857,154.45142857142858
R227A,23 ST,00:00:00,15556908.7,9003660.866666667,77.56666666666666,20.766666666666666,98.33333333333333
R132,23 ST,01:00:00,21212845.811428573,41792327.40571429,25.422857142857143,58.285714285714285,83.70857142857143
R227,23 ST,01:00:00,961206183.4482758,908772037.8103448,50.695402298850574,10.672413793103448,61.367816091954026
R131,23 ST,01:00:00,19954811.834285714,7954149.982857143,85.66285714285715,23.274285714285714,108.93714285714286
R227A,23 ST,01:00:00,15854034.514285713,9187424.48,-28258.628571428573,-12266.314285714287,-40524.94285714286
R226A,23 ST,01:00:00,36617914.24137931,21404215.701149426,8.028735632183908,17.149425287356323,25.17816091954023
R226,23 ST,01:00:00,2093621542.5028572,1732779253.7771428,27.565714285714286,59.8,87.36571428571429
N076,23 ST,03:00:00,32085810.666666668,17186308.833333332,243.2,339.43333333333334,582.6333333333333
N077,23 ST,03:00:00,13933092.366666667,26517616.366666667,69.46666666666667,341.0,410.46666666666664
N508,23 ST,03:00:00,3082824518.1,3241540024.9333334,38.6,570.3,608.9
N075,23 ST,03:00:00,163599584.75862068,471551462.51724136,89.6896551724138,66.55172413793103,156.24137931034483
A030,23 ST,03:00:00,129905942.76666667,20109227.7,101.0,264.7,365.7
A031,23 ST,03:00:00,20503236.066666666,16712082.2,68.63333333333334,277.96666666666664,346.6
N509,23 ST,03:00:00,23534235.266666666,16770386.6,232.26666666666668,404.3666666666667,636.6333333333333
N076,23 ST,04:00:00,32763672.137142856,17556958.94857143,688.2342857142858,755.9257142857143,1444.16
R226,23 ST,04:00:00,2067120585.9666667,1732554396.2333333,296.6,1555.3666666666666,1851.9666666666667
R227A,23 ST,04:00:00,15556986.266666668,9003681.633333333,391.73333333333335,347.56666666666666,739.3
N075,23 ST,04:00:00,156373305.08571428,575812576.6514286,1746.7885714285715,7767813.982857143,7769560.771428571
R131,23 ST,04:00:00,21113334.833333332,8335956.366666666,363.56666666666666,289.76666666666665,653.3333333333334
R227,23 ST,04:00:00,960815325.3333334,908688292.6666666,303.03333333333336,195.66666666666666,498.7
N509,23 ST,04:00:00,24265326.14285714,17235795.68,901.8,1031.1942857142858,1932.9942857142858
A030,23 ST,04:00:00,130661032.48,20436595.382857144,377.5314285714286,635.7257142857143,1013.2571428571429
A031,23 ST,04:00:00,20950145.651428573,17052087.742857143,177.56,765.3314285714285,942.8914285714286
N508,23 ST,04:00:00,3083214718.5942855,3242205234.16,111.71428571428571,1453.9257142857143,1565.64
N077,23 ST,04:00:00,14184797.594285714,26623220.537142858,216.09714285714287,829.4057142857143,1045.5028571428572
R226A,23 ST,04:00:00,36519668.9,21267994.966666665,94.66666666666667,232.23333333333332,326.9
R132,23 ST,04:00:00,20993827.366666667,41375331.53333333,190.83333333333334,885.9,1076.7333333333333
R131,23 ST,05:00:00,19943526.98275862,7950023.074712643,838.816091954023,644.448275862069,1483.2643678160919
R227A,23 ST,05:00:00,15825775.817142857,9175158.148571428,991.96,757.8742857142857,1749.8342857142857
R226,23 ST,05:00:00,2091608303.3028572,1732779313.577143,697.7485714285714,2767.2971428571427,3465.0457142857144
R226A,23 ST,05:00:00,36621194.666666664,21409003.971264366,285.7931034482759,431.8103448275862,717.6034482758621
R227,23 ST,05:00:00,961204449.5314286,908771600.0057143,644.1771428571428,410.96,1055.1371428571429
R132,23 ST,05:00:00,21212871.234285716,41792385.69142857,539.08,1772.057142857143,2311.137142857143
R227A,23 ST,06:14:09,15598314.0,9014933.0,1.0,0.0,1.0
R227A,23 ST,06:15:29,15598315.0,9014933.0,339.0,288.0,627.0
R227,23 ST,06:16:51,960786209.0,908671099.0,0.0,0.0,0.0
R227,23 ST,06:18:11,960786209.0,908671099.0,0.0,0.0,0.0
R227,23 ST,06:19:32,960786209.0,908671099.0,1.0,4.0,5.0
R227,23 ST,06:20:57,960786210.0,908671103.0,1.0,-2.0,-1.0
R227,23 ST,06:22:18,960786211.0,908671101.0,1.0,0.0,1.0
R227,23 ST,06:23:38,960786212.0,908671101.0,0.0,0.0,0.0
R227,23 ST,06:25:00,960786212.0,908671101.0,252.0,86.0,338.0
N508,23 ST,06:27:05,3083150822.0,3242053371.0,97.0,1093.0,1190.0
R227,23 ST,06:32:03,961088953.0,908733803.0,556.0,229.0,785.0
N076,23 ST,06:42:49,32543369.0,17430272.0,593.0,613.0,1206.0
N075,23 ST,06:43:54,103380146.0,352304.0,228.0,101.0,329.0
N076,23 ST,07:00:00,32086053.866666667,17186648.266666666,2719.266666666667,2679.9666666666667,5399.233333333334
A031,23 ST,07:00:00,20503304.7,16712360.166666666,910.2333333333333,3675.1666666666665,4585.4
N508,23 ST,07:00:00,3082824556.7,3241540595.233333,510.3666666666667,5188.766666666666,5699.133333333333
N077,23 ST,07:00:00,13933161.833333334,26517957.366666667,1077.5666666666666,2335.5333333333333,3413.1
N075,23 ST,07:00:00,163937890.33333334,456483583.7,995.0,327.1666666666667,1322.1666666666667
A030,23 ST,07:00:00,129906043.76666667,20109492.4,2101.766666666667,3238.1666666666665,5339.933333333333
N509,23 ST,07:00:00,23534467.533333335,16770790.966666667,4286.366666666667,5216.5,9502.866666666667
R131,23 ST,07:21:42,18582426.0,7413273.0,152.0,97.0,249.0
R227,23 ST,07:28:04,961095841.0,908735356.0,480.0,347.0,827.0
R227,23 ST,07:29:50,958600399.0,908260341.0,83.0,48.0,131.0
N509,23 ST,07:33:35,21536348.0,15638693.0,342.0,385.0,727.0
R131,23 ST,07:38:39,17845995.0,7131899.0,40.0,26.0,66.0
